Province,District,Municipality
Koshi Province,Bhojpur,Shadanand Municipality
Koshi Province,Bhojpur,Bhojpur Municipality
Koshi Province,Bhojpur,Hatuwagadhi Rural Municipality
Koshi Province,Bhojpur,Ramprasad Rai Rural Municipality
Koshi Province,Bhojpur,Aamchok Rural Municipality
Koshi Province,Bhojpur,Tyamke Maiyum Rural Municipality
Koshi Province,Bhojpur,Arun Rural Municipality
Koshi Province,Bhojpur,Pauwadungma Rural Municipality
Koshi Province,Bhojpur,Salpasilichho Rural Municipality
Koshi Province,Dhankuta,Dhankuta Municipality
Koshi Province,Dhankuta,Pakhribas Municipality
Koshi Province,Dhankuta,Mahalaxmi Municipality
Koshi Province,Dhankuta,Sangurigadhi Rural Municipality
Koshi Province,Dhankuta,Chaubise Rural Municipality
Koshi Province,Dhankuta,Sahidbhumi Rural Municipality
Koshi Province,Dhankuta,Chhathar Jorpati Rural Municipality
Koshi Province,Ilam,Suryodaya Municipality
Koshi Province,Ilam,Ilam Municipality
Koshi Province,Ilam,Deumai Municipality
Koshi Province,Ilam,Maijogmai Rural Municipality
Koshi Province,Ilam,Phakphokthum Rural Municipality
Koshi Province,Ilam,Mai Municipality
Koshi Province,Ilam,Chulachuli Rural Municipality
Koshi Province,Ilam,Rong Rural Municipality
Koshi Province,Ilam,Mangsebung Rural Municipality
Koshi Province,Ilam,Sandakpur Rural Municipality
Koshi Province,Jhapa,Mechinagar Municipality
Koshi Province,Jhapa,Birtamod Municipality
Koshi Province,Jhapa,Damak Municipality
Koshi Province,Jhapa,Bhadrapur Municipality
Koshi Province,Jhapa,Shivasatakshi Municipality
Koshi Province,Jhapa,Arjundhara Municipality
Koshi Province,Jhapa,Gauradaha Municipality
Koshi Province,Jhapa,Kankai Municipality
Koshi Province,Jhapa,Kamal Rural Municipality
Koshi Province,Jhapa,Buddha Shanti Rural Municipality
Koshi Province,Jhapa,Kachankawal Rural Municipality
Koshi Province,Jhapa,Jhapa Rural Municipality
Koshi Province,Jhapa,Barhadashi Rural Municipality
Koshi Province,Jhapa,Gaurigunj Rural Municipality
Koshi Province,Jhapa,Haldibari Rural Municipality
Koshi Province,Khotang,Diktel Rupakot Majhuwagadhi Municipality
Koshi Province,Khotang,Halesi Tuwachung Municipality
Koshi Province,Khotang,Khotehang Rural Municipality
Koshi Province,Khotang,Diprung Chuichumma Rural Municipality
Koshi Province,Khotang,Aiselukharka Rural Municipality
Koshi Province,Khotang,Jantedhunga Rural Municipality
Koshi Province,Khotang,Kepilasgadhi Rural Municipality
Koshi Province,Khotang,Barahpokhari Rural Municipality
Koshi Province,Khotang,Rawa Besi Rural Municipality
Koshi Province,Khotang,Sakela Rural Municipality
Koshi Province,Morang,Sundar Haraicha Municipality
Koshi Province,Morang,Belbari Municipality
Koshi Province,Morang,Pathari Shanischare Municipality
Koshi Province,Morang,Ratuwamai Municipality
Koshi Province,Morang,Urlabari Municipality
Koshi Province,Morang,Rangeli Municipality
Koshi Province,Morang,Sunawarshi Municipality
Koshi Province,Morang,Letang Municipality
Koshi Province,Morang,Biratnagar Metropolitan City
Koshi Province,Morang,Jahada Rural Municipality
Koshi Province,Morang,Budi Ganga Rural Municipality
Koshi Province,Morang,Katahari Rural Municipality
Koshi Province,Morang,Dhanpalthan Rural Municipality
Koshi Province,Morang,Kanepokhari Rural Municipality
Koshi Province,Morang,Gramthan Rural Municipality
Koshi Province,Morang,Kerabari Rural Municipality
Koshi Province,Morang,Miklajung Rural Municipality
Koshi Province,Okhaldhunga,Siddhicharan Municipality
Koshi Province,Okhaldhunga,Khiji Demba Rural Municipality
Koshi Province,Okhaldhunga,Chisankhugadhi Rural Municipality
Koshi Province,Okhaldhunga,Molung Rural Municipality
Koshi Province,Okhaldhunga,Sunkoshi Rural Municipality
Koshi Province,Okhaldhunga,Champadevi Rural Municipality
Koshi Province,Okhaldhunga,Manebhanjyang Rural Municipality
Koshi Province,Okhaldhunga,Likhu Rural Municipality
Koshi Province,Pachthar,Phidim Municipality
Koshi Province,Pachthar,Miklajung Rural Municipality
Koshi Province,Pachthar,Phalgunanda Rural Municipality
Koshi Province,Pachthar,Hilihang Rural Municipality
Koshi Province,Pachthar,Phalelung Rural Municipality
Koshi Province,Pachthar,Yangwarak Rural Municipality
Koshi Province,Pachthar,Kummayak Rural Municipality
Koshi Province,Pachthar,Tumbewa Rural Municipality
Koshi Province,Sankhuwasabha,Khandbari Municipality
Koshi Province,Sankhuwasabha,Chainpur Municipality
Koshi Province,Sankhuwasabha,Dharmadevi Municipality
Koshi Province,Sankhuwasabha,Panchkhapan Municipality
Koshi Province,Sankhuwasabha,Madi Municipality
Koshi Province,Sankhuwasabha,Makalu Rural Municipality
Koshi Province,Sankhuwasabha,Silichong Rural Municipality
Koshi Province,Sankhuwasabha,Sabhapokhari Rural Municipality
Koshi Province,Sankhuwasabha,Chichila Rural Municipality
Koshi Province,Sankhuwasabha,BhotKhola Rural Municipality
Koshi Province,Solukhumbu,Solu Dudhkunda Municipality
Koshi Province,Solukhumbu,Mapya Dudhkoshi Rural Municipality
Koshi Province,Solukhumbu,Necha Salyan Rural Municipality
Koshi Province,Solukhumbu,Thulung Dudhkoshi Rural Municipality
Koshi Province,Solukhumbu,Maha Kulung Rural Municipality
Koshi Province,Solukhumbu,Sotang Rural Municipality
Koshi Province,Solukhumbu,Khumbu PasangLhamu Rural Municipality
Koshi Province,Solukhumbu,Likhu Pike Rural Municipality
Koshi Province,Sunsari,BarahaKshetra Municipality
Koshi Province,Sunsari,Inaruwa Municipality
Koshi Province,Sunsari,Duhabi Municipality
Koshi Province,Sunsari,Ramdhuni Municipality
Koshi Province,Sunsari,Itahari Sub-Metropolitan City
Koshi Province,Sunsari,Dharan Sub-Metropolitan City
Koshi Province,Sunsari,Koshi Rural Municipality
Koshi Province,Sunsari,Harinagar Rural Municipality
Koshi Province,Sunsari,Bhokraha Narsingh Rural Municipality
Koshi Province,Sunsari,Dewangunj Rural Municipality
Koshi Province,Sunsari,Gadhi Rural Municipality
Koshi Province,Sunsari,Barju Rural Municipality
Koshi Province,Taplejung,Phungling Municipality
Koshi Province,Taplejung,Sirijangha Rural Municipality
Koshi Province,Taplejung,Aathrai Triveni Rural Municipality
Koshi Province,Taplejung,Pathibhara Yangwarak Rural Municipality
